--- ripple_adder ---
VCD info: dumpfile build/adder.vcd opened for output.
FAIL: 15 + 9 + 0 -> got 20, want 24
FAIL: 15 + 9 + 1 -> got 21, want 25
FAIL: 15 + 10 + 0 -> got 17, want 25
FAIL: 15 + 10 + 1 -> got 16, want 26
FAIL: 15 + 11 + 0 -> got 18, want 26
FAIL: 15 + 11 + 1 -> got 19, want 27
FAIL: 15 + 12 + 1 -> got 26, want 28
FAIL: 15 + 13 + 0 -> got 24, want 28
FAIL: 15 + 13 + 1 -> got 25, want 29
FAIL: 15 + 14 + 1 -> got 28, want 30
FAIL  ripple_adder: 280 error(s)
tb/02_tb_adder.sv:52: $finish called at 512000 (1ps)
